production_date,day_number,downtime_min,centre_line,upper_control_limit,lower_control_limit,in_baseline,beyond_limits,run_of_eight,out_of_control
2024-04-01,1,334.69,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-02,2,573.23,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-03,3,298.62,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-04,4,468.36,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-05,5,307.13,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-06,6,671.26,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-08,7,510.57,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-09,8,382.99,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-10,9,457.5,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-11,10,436.37,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-12,11,620.3100000000001,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-13,12,347.76,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-15,13,416.40999999999997,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-16,14,469.66,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-17,15,692.95,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-18,16,516.72,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-19,17,424.52,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-20,18,484.02,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-22,19,500.79,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-23,20,359.02,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-24,21,672.25,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-25,22,391.75,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-26,23,424.33,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-27,24,618.98,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-29,25,458.0,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-04-30,26,483.27,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-01,27,505.62,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-02,28,661.5699999999999,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-03,29,471.57,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-04,30,621.3,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-06,31,401.05,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-07,32,484.93999999999994,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-08,33,533.92,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-09,34,571.9399999999999,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-10,35,724.39,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-11,36,529.11,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-13,37,329.65,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-14,38,339.78,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-15,39,625.21,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-16,40,580.15,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-17,41,357.77,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-18,42,395.12,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-20,43,370.89,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-21,44,490.25,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-22,45,253.09,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-23,46,463.91,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-24,47,480.76000000000005,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-25,48,483.23,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-27,49,611.09,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-28,50,460.08,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-29,51,464.35999999999996,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-30,52,361.20000000000005,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-05-31,53,460.47,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-06-01,54,488.82,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-06-03,55,434.28,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-06-04,56,479.72,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-06-05,57,460.15999999999997,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-06-06,58,547.42,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-06-07,59,546.61,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-06-08,60,373.92,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-06-10,61,717.9,478.19599999999997,832.1784886445134,124.21351135548645,True,False,False,False
2024-06-11,62,474.39,478.19599999999997,832.1784886445134,124.21351135548645,True,False,True,True
2024-06-12,63,372.7,478.19599999999997,832.1784886445134,124.21351135548645,True,False,True,True
2024-06-13,64,458.69000000000005,478.19599999999997,832.1784886445134,124.21351135548645,True,False,True,True
2024-06-14,65,396.88,478.19599999999997,832.1784886445134,124.21351135548645,True,False,True,True
2024-06-15,66,280.28,478.19599999999997,832.1784886445134,124.21351135548645,True,False,True,True
2024-06-17,67,387.46000000000004,478.19599999999997,832.1784886445134,124.21351135548645,True,False,True,True
2024-06-18,68,431.63,478.19599999999997,832.1784886445134,124.21351135548645,True,False,True,True
