production_date,day_number,units_produced,defective_units,defect_rate,centre_line,upper_control_limit,lower_control_limit,in_baseline,beyond_limits,run_of_eight,out_of_control
2024-04-01,1,35137,992,0.028232347667700716,0.025082950772618347,0.02758566960145771,0.022580231943778985,True,True,False,True
2024-04-02,2,30935,1036,0.033489574915144656,0.025082950772618347,0.027750235265864936,0.02241566627937176,True,True,False,True
2024-04-03,3,34486,759,0.022008931160470917,0.025082950772618347,0.027609181354953247,0.022556720190283448,True,True,False,True
2024-04-04,4,33557,735,0.02190303066424293,0.025082950772618347,0.02764391101515257,0.022521990530084125,True,True,False,True
2024-04-05,5,34739,793,0.02282736981490544,0.025082950772618347,0.027599965426419355,0.02256593611881734,True,False,False,False
2024-04-06,6,29126,738,0.02533818581336263,0.025082950772618347,0.027831819355478273,0.022334082189758422,True,False,True,True
2024-04-08,7,33009,884,0.026780574994698415,0.025082950772618347,0.027665081444318,0.022500820100918695,True,False,True,True
2024-04-09,8,32794,880,0.02683417698359456,0.025082950772618347,0.027673531940599877,0.022492369604636818,True,False,True,True
2024-04-10,9,32433,877,0.02704036012703111,0.025082950772618347,0.027687909454887725,0.02247799209034897,True,False,True,True
2024-04-11,10,33088,974,0.029436653771760156,0.025082950772618347,0.027661997090052626,0.02250390445518407,True,True,True,True
2024-04-12,11,30430,793,0.026059809398619783,0.025082950772618347,0.027772276608793462,0.022393624936443233,True,False,True,True
2024-04-13,12,33788,949,0.028086894755534508,0.025082950772618347,0.02763514168268199,0.022530759862554706,True,True,True,True
2024-04-15,13,33596,915,0.027235385164900584,0.025082950772618347,0.02764242413498765,0.022523477410249047,True,False,True,True
2024-04-16,14,32053,609,0.018999781611705614,0.025082950772618347,0.02770330532583027,0.022462596219406425,True,True,False,True
2024-04-17,15,29375,1144,0.03894468085106383,0.025082950772618347,0.027820144037219094,0.0223457575080176,True,True,False,True
2024-04-18,16,31261,903,0.02888583218707015,0.025082950772618347,0.027736291156730583,0.022429610388506112,True,True,False,True
2024-04-19,17,32364,879,0.027159807193177603,0.025082950772618347,0.027690684860408786,0.02247521668482791,True,False,False,False
2024-04-20,18,31681,844,0.02664057321422935,0.025082950772618347,0.02771864460039924,0.022447256944837454,True,False,False,False
2024-04-22,19,31964,711,0.02224377424602678,0.025082950772618347,0.02770695082456805,0.022458950720668645,True,True,False,True
2024-04-23,20,33905,1115,0.032886005014009734,0.025082950772618347,0.027630734303372383,0.02253516724186431,True,True,False,True
2024-04-24,21,29730,640,0.021527077026572486,0.025082950772618347,0.027803752819803466,0.02236214872543323,True,True,False,True
2024-04-25,22,32723,763,0.023316933044036304,0.025082950772618347,0.027676340845664015,0.02248956069957268,True,False,False,False
2024-04-26,23,32446,750,0.023115330086913643,0.025082950772618347,0.027687387543779553,0.02247851400145714,True,False,False,False
2024-04-27,24,29631,816,0.027538726333907058,0.025082950772618347,0.027808294259324115,0.02235760728591258,True,False,False,False
2024-04-29,25,32564,764,0.023461491217295172,0.025082950772618347,0.027682664499136242,0.022483237046100453,True,False,False,False
2024-04-30,26,31461,868,0.027589714249388133,0.025082950772618347,0.02772784396588036,0.022438057579356335,True,False,False,False
2024-05-01,27,32598,812,0.02490950365053071,0.025082950772618347,0.027681308383321085,0.02248459316191561,True,False,False,False
2024-05-02,28,30357,881,0.029021313041473137,0.025082950772618347,0.027775508201239068,0.022390393343997627,True,True,False,True
2024-05-03,29,34000,882,0.025941176470588235,0.025082950772618347,0.02762717241008264,0.022538729135154055,True,False,False,False
2024-05-04,30,29344,666,0.02269629225736096,0.025082950772618347,0.027821589487611605,0.02234431205762509,True,False,False,False
2024-05-06,31,33389,797,0.02387013687142472,0.025082950772618347,0.027650345791243054,0.02251555575399364,True,False,False,False
2024-05-07,32,31704,801,0.025264950794852383,0.025082950772618347,0.027717688381049058,0.022448213164187637,True,False,False,False
2024-05-08,33,31892,728,0.0228270412642669,0.025082950772618347,0.027709911151484724,0.02245599039375197,True,False,False,False
2024-05-09,34,31047,992,0.03195155731632686,0.025082950772618347,0.027745419892918045,0.02242048165231865,True,True,False,True
2024-05-10,35,28507,884,0.031009927386256006,0.025082950772618347,0.027861503498830036,0.02230439804640666,True,True,False,True
2024-05-11,36,31692,666,0.021014767133661492,0.025082950772618347,0.027718187148229753,0.022447714397006942,True,True,False,True
2024-05-13,37,33507,853,0.02545736711731877,0.025082950772618347,0.027645821067956572,0.022520080477280123,True,False,False,False
2024-05-14,38,34189,584,0.017081517447132117,0.025082950772618347,0.027620130316286372,0.022545771228950323,True,True,False,True
2024-05-15,39,30491,849,0.02784428191925486,0.025082950772618347,0.027769585142347113,0.022396316402889582,True,True,False,True
2024-05-16,40,31928,811,0.025400902029566526,0.025082950772618347,0.027708429736321972,0.022457471808914723,True,False,False,False
2024-05-17,41,33780,972,0.028774422735346358,0.025082950772618347,0.027635443878042714,0.02253045766719398,True,True,False,True
2024-05-18,42,33001,804,0.02436289809399715,0.025082950772618347,0.027665394401404468,0.022500507143832227,True,False,False,False
2024-05-20,43,33951,688,0.02026449883655857,0.025082950772618347,0.027629007730266195,0.0225368938149705,True,True,False,True
2024-05-21,44,31144,838,0.02690726945800154,0.025082950772618347,0.027741270443426745,0.02242463110180995,True,False,False,False
2024-05-22,45,36195,888,0.02453377538334024,0.025082950772618347,0.02754882039129936,0.022617081153937336,True,False,False,False
2024-05-23,46,31947,924,0.028922903559019626,0.025082950772618347,0.027707648888050267,0.02245825265718643,True,True,False,True
2024-05-24,47,32313,756,0.0233961563457432,0.025082950772618347,0.027692741958220267,0.022473159587016428,True,False,False,False
2024-05-25,48,32801,935,0.028505228499131122,0.025082950772618347,0.027673255500311952,0.022492646044924743,True,True,False,True
2024-05-27,49,30473,704,0.023102418534440325,0.025082950772618347,0.027770378504986915,0.02239552304024978,True,False,False,False
2024-05-28,50,31239,596,0.01907871570792919,0.025082950772618347,0.02773722529698341,0.022428676248253284,True,True,False,True
2024-05-29,51,32592,793,0.024331124202258223,0.025082950772618347,0.0276815475436705,0.022484354001566197,True,False,False,False
2024-05-30,52,34268,832,0.024279210925644917,0.025082950772618347,0.027617204075520145,0.02254869746971655,True,False,False,False
2024-05-31,53,31973,688,0.021518155944077817,0.025082950772618347,0.02770658148696126,0.022459320058275434,True,True,False,True
2024-06-01,54,32142,932,0.028996328790989984,0.025082950772618347,0.02769967497896856,0.022466226566268135,True,True,False,True
2024-06-03,55,33100,813,0.024561933534743202,0.025082950772618347,0.027661529546830228,0.022504371998406467,True,False,False,False
2024-06-04,56,32996,547,0.016577767002060855,0.025082950772618347,0.027665590057378262,0.022500311487858433,True,True,False,True
2024-06-05,57,32250,805,0.02496124031007752,0.025082950772618347,0.02769528981289357,0.022470611732343125,True,False,False,False
