production_date,day_number,defect_rate,centre_line,upper_control_limit,lower_control_limit,in_baseline,beyond_limits,run_of_eight,out_of_control
2024-04-01,1,0.028232347667700716,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,False,False
2024-04-02,2,0.033489574915144656,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,False,False
2024-04-03,3,0.022008931160470917,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,False,False
2024-04-04,4,0.02190303066424293,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,False,False
2024-04-05,5,0.02282736981490544,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,False,False
2024-04-06,6,0.02533818581336263,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,True,True
2024-04-08,7,0.026780574994698415,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,True,True
2024-04-09,8,0.02683417698359456,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,True,True
2024-04-10,9,0.02704036012703111,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,True,True
2024-04-11,10,0.029436653771760156,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,True,True
2024-04-12,11,0.026059809398619783,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,True,True
2024-04-13,12,0.028086894755534508,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,True,True
2024-04-15,13,0.027235385164900584,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,True,True
2024-04-16,14,0.018999781611705614,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,False,False
2024-04-17,15,0.03894468085106383,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,True,False,True
2024-04-18,16,0.02888583218707015,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,False,False
2024-04-19,17,0.027159807193177603,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,False,False
2024-04-20,18,0.02664057321422935,0.025093996815578896,0.03734094497349901,0.01284704865765878,True,False,False,False
